sintoma,falla
resulta que el freno esta muy largo y no frena casi nada ultimamente,Fuga de liquido de frenos o aire en el sistema
sabes que el freno esta muy largo y no frena casi nada cuando salgo a trabajar,Fuga de liquido de frenos o aire en el sistema
tengo un problema el freno esta muy largo y no frena casi nada desde ayer,Fuga de liquido de frenos o aire en el sistema
tengo que pisar hasta el fondo el pedal para que pare,Fuga de liquido de frenos o aire en el sistema
buenas tardes maestro tengo que pisar hasta el fondo el pedal para que pare ultimamente,Fuga de liquido de frenos o aire en el sistema
resulta que tengo que pisar hasta el fondo el pedal para que pare desde ayer,Fuga de liquido de frenos o aire en el sistema
hola maestro tengo que pisar hasta el fondo el pedal para que pare en carabayllo,Fuga de liquido de frenos o aire en el sistema
siento el pedal de freno blando y el nivel de liquido bajo,Fuga de liquido de frenos o aire en el sistema
amigo una consulta siento el pedal de freno blando y el nivel de liquido bajo en carabayllo,Fuga de liquido de frenos o aire en el sistema
tengo un problema siento el pedal de freno blando y el nivel de liquido bajo desde ayer,Fuga de liquido de frenos o aire en el sistema
mi carro presenta siento el pedal de freno blando y el nivel de liquido bajo desde ayer,Fuga de liquido de frenos o aire en el sistema
el pedal de freno se hunde solo al mantenerlo pisado,Fuga de liquido de frenos o aire en el sistema
resulta que el pedal de freno se hunde solo al mantenerlo pisado en carabayllo,Fuga de liquido de frenos o aire en el sistema
sabes que el pedal de freno se hunde solo al mantenerlo pisado cuando salgo a trabajar,Fuga de liquido de frenos o aire en el sistema
mi carro presenta el pedal de freno se hunde solo al mantenerlo pisado en carabayllo,Fuga de liquido de frenos o aire en el sistema
el motor cascabelea fuerte cuando subo una cuesta,Bujias desgastadas o gasolina de bajo octanaje (preignicion)
amigo una consulta el motor cascabelea fuerte cuando subo una cuesta en carabayllo,Bujias desgastadas o gasolina de bajo octanaje (preignicion)
mi carro presenta el motor cascabelea fuerte cuando subo una cuesta desde ayer,Bujias desgastadas o gasolina de bajo octanaje (preignicion)
resulta que el motor cascabelea fuerte cuando subo una cuesta al andar,Bujias desgastadas o gasolina de bajo octanaje (preignicion)
siento un cascabeleo en el motor al acelerar fuerte,Bujias desgastadas o gasolina de bajo octanaje (preignicion)
mi carro presenta siento un cascabeleo en el motor al acelerar fuerte desde ayer,Bujias desgastadas o gasolina de bajo octanaje (preignicion)
mi carro presenta siento un cascabeleo en el motor al acelerar fuerte ultimamente,Bujias desgastadas o gasolina de bajo octanaje (preignicion)
sabes que siento un cascabeleo en el motor al acelerar fuerte en carabayllo,Bujias desgastadas o gasolina de bajo octanaje (preignicion)
el carro cascabelea y pierde fuerza en la subida,Bujias desgastadas o gasolina de bajo octanaje (preignicion)
hola maestro el carro cascabelea y pierde fuerza en la subida al andar,Bujias desgastadas o gasolina de bajo octanaje (preignicion)
buenas tardes maestro el carro cascabelea y pierde fuerza en la subida desde ayer,Bujias desgastadas o gasolina de bajo octanaje (preignicion)
hola maestro el carro cascabelea y pierde fuerza en la subida ultimamente,Bujias desgastadas o gasolina de bajo octanaje (preignicion)
escucho un sonajero o cascabeleo en el motor al pisar el acelerador,Bujias desgastadas o gasolina de bajo octanaje (preignicion)
resulta que escucho un sonajero o cascabeleo en el motor al pisar el acelerador en carabayllo,Bujias desgastadas o gasolina de bajo octanaje (preignicion)
amigo una consulta escucho un sonajero o cascabeleo en el motor al pisar el acelerador desde ayer,Bujias desgastadas o gasolina de bajo octanaje (preignicion)
amigo una consulta escucho un sonajero o cascabeleo en el motor al pisar el acelerador al andar,Bujias desgastadas o gasolina de bajo octanaje (preignicion)
el motor cabecea y cascabelea en tercera marcha,Bujias desgastadas o gasolina de bajo octanaje (preignicion)
resulta que el motor cabecea y cascabelea en tercera marcha desde ayer,Bujias desgastadas o gasolina de bajo octanaje (preignicion)
buenas tardes maestro el motor cabecea y cascabelea en tercera marcha desde ayer,Bujias desgastadas o gasolina de bajo octanaje (preignicion)
tengo un problema el motor cabecea y cascabelea en tercera marcha ultimamente,Bujias desgastadas o gasolina de bajo octanaje (preignicion)
el carro no arranca solo hace un click click al girar la llave,Bateria descargada o arrancador defectuoso
sabes que el carro no arranca solo hace un click click al girar la llave desde ayer,Bateria descargada o arrancador defectuoso
sabes que el carro no arranca solo hace un click click al girar la llave al andar,Bateria descargada o arrancador defectuoso
sabes que el carro no arranca solo hace un click click al girar la llave en carabayllo,Bateria descargada o arrancador defectuoso
no prende el auto no da arranque y las luces estan tenues,Bateria descargada o arrancador defectuoso
mi carro presenta no prende el auto no da arranque y las luces estan tenues al andar,Bateria descargada o arrancador defectuoso
buenas tardes maestro no prende el auto no da arranque y las luces estan tenues en la pista,Bateria descargada o arrancador defectuoso
sabes que no prende el auto no da arranque y las luces estan tenues ultimamente,Bateria descargada o arrancador defectuoso
giro la llave y no hace nada la bateria esta muerta,Bateria descargada o arrancador defectuoso
buenas tardes maestro giro la llave y no hace nada la bateria esta muerta cuando salgo a trabajar,Bateria descargada o arrancador defectuoso
amigo una consulta giro la llave y no hace nada la bateria esta muerta desde ayer,Bateria descargada o arrancador defectuoso
sabes que giro la llave y no hace nada la bateria esta muerta al andar,Bateria descargada o arrancador defectuoso
el carro no da marcha y el tablero parpadea,Bateria descargada o arrancador defectuoso
mi carro presenta el carro no da marcha y el tablero parpadea ultimamente,Bateria descargada o arrancador defectuoso
sabes que el carro no da marcha y el tablero parpadea desde ayer,Bateria descargada o arrancador defectuoso
resulta que el carro no da marcha y el tablero parpadea en carabayllo,Bateria descargada o arrancador defectuoso
no arranca en las mañanas solo suena un tacc seco,Bateria descargada o arrancador defectuoso
buenas tardes maestro no arranca en las mañanas solo suena un tacc seco en carabayllo,Bateria descargada o arrancador defectuoso
resulta que no arranca en las mañanas solo suena un tacc seco desde ayer,Bateria descargada o arrancador defectuoso
amigo una consulta no arranca en las mañanas solo suena un tacc seco desde ayer,Bateria descargada o arrancador defectuoso
el motor tiembla bastante cuando esta parado en el semaforo,Soportes de motor rotos o inyectores sucios
hola maestro el motor tiembla bastante cuando esta parado en el semaforo ultimamente,Soportes de motor rotos o inyectores sucios
mi carro presenta el motor tiembla bastante cuando esta parado en el semaforo al andar,Soportes de motor rotos o inyectores sucios
tengo un problema el motor tiembla bastante cuando esta parado en el semaforo ultimamente,Soportes de motor rotos o inyectores sucios
el auto vibra mucho en ralenti o cuando esta encendido quieto,Soportes de motor rotos o inyectores sucios
sabes que el auto vibra mucho en ralenti o cuando esta encendido quieto cuando salgo a trabajar,Soportes de motor rotos o inyectores sucios
amigo una consulta el auto vibra mucho en ralenti o cuando esta encendido quieto al andar,Soportes de motor rotos o inyectores sucios
amigo una consulta el auto vibra mucho en ralenti o cuando esta encendido quieto ultimamente,Soportes de motor rotos o inyectores sucios
siento una vibracion fuerte en el timon y asientos al estar detenido,Soportes de motor rotos o inyectores sucios
tengo un problema siento una vibracion fuerte en el timon y asientos al estar detenido ultimamente,Soportes de motor rotos o inyectores sucios
buenas tardes maestro siento una vibracion fuerte en el timon y asientos al estar detenido al andar,Soportes de motor rotos o inyectores sucios
mi carro presenta siento una vibracion fuerte en el timon y asientos al estar detenido en la pista,Soportes de motor rotos o inyectores sucios
el motor zapatea al estar neutro,Soportes de motor rotos o inyectores sucios
tengo un problema el motor zapatea al estar neutro al andar,Soportes de motor rotos o inyectores sucios
mi carro presenta el motor zapatea al estar neutro cuando salgo a trabajar,Soportes de motor rotos o inyectores sucios
tiembla todo el carro cuando prendo el aire acondicionado parado,Soportes de motor rotos o inyectores sucios
tengo un problema tiembla todo el carro cuando prendo el aire acondicionado parado ultimamente,Soportes de motor rotos o inyectores sucios
buenas tardes maestro tiembla todo el carro cuando prendo el aire acondicionado parado en la pista,Soportes de motor rotos o inyectores sucios
amigo una consulta tiembla todo el carro cuando prendo el aire acondicionado parado en carabayllo,Soportes de motor rotos o inyectores sucios
el timon tiembla bastante a mas de 80 kilometros por hora,"Llantas desalineadas, desbalanceadas o deformadas"
resulta que el timon tiembla bastante a mas de 80 kilometros por hora en carabayllo,"Llantas desalineadas, desbalanceadas o deformadas"
buenas tardes maestro el timon tiembla bastante a mas de 80 kilometros por hora al andar,"Llantas desalineadas, desbalanceadas o deformadas"
vibra la direccion del carro cuando voy por la panamericana,"Llantas desalineadas, desbalanceadas o deformadas"
buenas tardes maestro vibra la direccion del carro cuando voy por la panamericana al andar,"Llantas desalineadas, desbalanceadas o deformadas"
amigo una consulta vibra la direccion del carro cuando voy por la panamericana en la pista,"Llantas desalineadas, desbalanceadas o deformadas"
hola maestro vibra la direccion del carro cuando voy por la panamericana cuando salgo a trabajar,"Llantas desalineadas, desbalanceadas o deformadas"
el timon zapatea fuerte a alta velocidad,"Llantas desalineadas, desbalanceadas o deformadas"
amigo una consulta el timon zapatea fuerte a alta velocidad en la pista,"Llantas desalineadas, desbalanceadas o deformadas"
tengo un problema el timon zapatea fuerte a alta velocidad en la pista,"Llantas desalineadas, desbalanceadas o deformadas"
siento que la direccion vibra entre 70 y 90 km/h,"Llantas desalineadas, desbalanceadas o deformadas"
resulta que siento que la direccion vibra entre 70 y 90 km/h en carabayllo,"Llantas desalineadas, desbalanceadas o deformadas"
sabes que siento que la direccion vibra entre 70 y 90 km/h al andar,"Llantas desalineadas, desbalanceadas o deformadas"
hola maestro siento que la direccion vibra entre 70 y 90 km/h al andar,"Llantas desalineadas, desbalanceadas o deformadas"
el carro se jala para un lado y tiembla el timon,"Llantas desalineadas, desbalanceadas o deformadas"
mi carro presenta el carro se jala para un lado y tiembla el timon desde ayer,"Llantas desalineadas, desbalanceadas o deformadas"
resulta que el carro se jala para un lado y tiembla el timon al andar,"Llantas desalineadas, desbalanceadas o deformadas"
tengo un problema el carro se jala para un lado y tiembla el timon en carabayllo,"Llantas desalineadas, desbalanceadas o deformadas"
suena un golpe seco en la llanta al pasar un rompemuelles,Amortiguadores reventados o bujes de suspension gastados
tengo un problema suena un golpe seco en la llanta al pasar un rompemuelles cuando salgo a trabajar,Amortiguadores reventados o bujes de suspension gastados
buenas tardes maestro suena un golpe seco en la llanta al pasar un rompemuelles cuando salgo a trabajar,Amortiguadores reventados o bujes de suspension gastados
hola maestro suena un golpe seco en la llanta al pasar un rompemuelles al andar,Amortiguadores reventados o bujes de suspension gastados
escucho un trancazo seco en la suspension al pasar por baches,Amortiguadores reventados o bujes de suspension gastados
sabes que escucho un trancazo seco en la suspension al pasar por baches desde ayer,Amortiguadores reventados o bujes de suspension gastados
mi carro presenta escucho un trancazo seco en la suspension al pasar por baches ultimamente,Amortiguadores reventados o bujes de suspension gastados
mi carro presenta escucho un trancazo seco en la suspension al pasar por baches en carabayllo,Amortiguadores reventados o bujes de suspension gastados
el carro golpea feo abajo al cruzar un bache en carabayllo,Amortiguadores reventados o bujes de suspension gastados
resulta que el carro golpea feo abajo al cruzar un bache en carabayllo al andar,Amortiguadores reventados o bujes de suspension gastados
tengo un problema el carro golpea feo abajo al cruzar un bache en carabayllo al andar,Amortiguadores reventados o bujes de suspension gastados
mi carro presenta el carro golpea feo abajo al cruzar un bache en carabayllo en la pista,Amortiguadores reventados o bujes de suspension gastados
suena un golpe fuerte en la rueda delantera derecha al caer en hueco,Amortiguadores reventados o bujes de suspension gastados
buenas tardes maestro suena un golpe fuerte en la rueda delantera derecha al caer en hueco ultimamente,Amortiguadores reventados o bujes de suspension gastados
tengo un problema suena un golpe fuerte en la rueda delantera derecha al caer en hueco ultimamente,Amortiguadores reventados o bujes de suspension gastados
mi carro presenta suena un golpe fuerte en la rueda delantera derecha al caer en hueco en la pista,Amortiguadores reventados o bujes de suspension gastados
la suspension suena suelta y golpea al andar,Amortiguadores reventados o bujes de suspension gastados
hola maestro la suspension suena suelta y golpea al andar en la pista,Amortiguadores reventados o bujes de suspension gastados
tengo un problema la suspension suena suelta y golpea al andar cuando salgo a trabajar,Amortiguadores reventados o bujes de suspension gastados
hola maestro la suspension suena suelta y golpea al andar en carabayllo,Amortiguadores reventados o bujes de suspension gastados
suena un clac clac fuerte al girar todo el timon para doblar,Juntas homocineticas (palieres) dañadas
tengo un problema suena un clac clac fuerte al girar todo el timon para doblar desde ayer,Juntas homocineticas (palieres) dañadas
buenas tardes maestro suena un clac clac fuerte al girar todo el timon para doblar en carabayllo,Juntas homocineticas (palieres) dañadas
buenas tardes maestro suena un clac clac fuerte al girar todo el timon para doblar en la pista,Juntas homocineticas (palieres) dañadas
cuando doblo toda la esquina suena un crujido en la llanta,Juntas homocineticas (palieres) dañadas
hola maestro cuando doblo toda la esquina suena un crujido en la llanta en carabayllo,Juntas homocineticas (palieres) dañadas
sabes que cuando doblo toda la esquina suena un crujido en la llanta cuando salgo a trabajar,Juntas homocineticas (palieres) dañadas
resulta que cuando doblo toda la esquina suena un crujido en la llanta en carabayllo,Juntas homocineticas (palieres) dañadas
suena clac clac en las ruedas delanteras cuando giro a la izquierda,Juntas homocineticas (palieres) dañadas
resulta que suena clac clac en las ruedas delanteras cuando giro a la izquierda en la pista,Juntas homocineticas (palieres) dañadas
resulta que suena clac clac en las ruedas delanteras cuando giro a la izquierda ultimamente,Juntas homocineticas (palieres) dañadas
buenas tardes maestro suena clac clac en las ruedas delanteras cuando giro a la izquierda al andar,Juntas homocineticas (palieres) dañadas
al dar vuelta en u se escucha un traqueteo en el palier,Juntas homocineticas (palieres) dañadas
amigo una consulta al dar vuelta en u se escucha un traqueteo en el palier en la pista,Juntas homocineticas (palieres) dañadas
buenas tardes maestro al dar vuelta en u se escucha un traqueteo en el palier desde ayer,Juntas homocineticas (palieres) dañadas
mi carro presenta al dar vuelta en u se escucha un traqueteo en el palier en la pista,Juntas homocineticas (palieres) dañadas
suena un chasquido continuo cuando doblo el timon,Juntas homocineticas (palieres) dañadas
amigo una consulta suena un chasquido continuo cuando doblo el timon ultimamente,Juntas homocineticas (palieres) dañadas
mi carro presenta suena un chasquido continuo cuando doblo el timon al andar,Juntas homocineticas (palieres) dañadas
sabes que suena un chasquido continuo cuando doblo el timon ultimamente,Juntas homocineticas (palieres) dañadas
el carro se aguanta o pierde fuerza cuando acelero,Filtro de combustible obstruido o inyectores sucios
sabes que el carro se aguanta o pierde fuerza cuando acelero desde ayer,Filtro de combustible obstruido o inyectores sucios
amigo una consulta el carro se aguanta o pierde fuerza cuando acelero al andar,Filtro de combustible obstruido o inyectores sucios
siento que el auto se chupa y no responde al acelerador,Filtro de combustible obstruido o inyectores sucios
amigo una consulta siento que el auto se chupa y no responde al acelerador en la pista,Filtro de combustible obstruido o inyectores sucios
amigo una consulta siento que el auto se chupa y no responde al acelerador en carabayllo,Filtro de combustible obstruido o inyectores sucios
buenas tardes maestro siento que el auto se chupa y no responde al acelerador ultimamente,Filtro de combustible obstruido o inyectores sucios
el carro se atranca al querer adelantar un bus,Filtro de combustible obstruido o inyectores sucios
hola maestro el carro se atranca al querer adelantar un bus desde ayer,Filtro de combustible obstruido o inyectores sucios
hola maestro el carro se atranca al querer adelantar un bus en la pista,Filtro de combustible obstruido o inyectores sucios
mi carro presenta el carro se atranca al querer adelantar un bus ultimamente,Filtro de combustible obstruido o inyectores sucios
acelero y el carro no avanza se queda aguantado,Filtro de combustible obstruido o inyectores sucios
mi carro presenta acelero y el carro no avanza se queda aguantado ultimamente,Filtro de combustible obstruido o inyectores sucios
hola maestro acelero y el carro no avanza se queda aguantado en carabayllo,Filtro de combustible obstruido o inyectores sucios
sabes que acelero y el carro no avanza se queda aguantado al andar,Filtro de combustible obstruido o inyectores sucios
pierde potencia de la nada cuando acelero en pista,Filtro de combustible obstruido o inyectores sucios
hola maestro pierde potencia de la nada cuando acelero en pista ultimamente,Filtro de combustible obstruido o inyectores sucios
hola maestro pierde potencia de la nada cuando acelero en pista en carabayllo,Filtro de combustible obstruido o inyectores sucios
resulta que pierde potencia de la nada cuando acelero en pista desde ayer,Filtro de combustible obstruido o inyectores sucios
el carro esta consumiendo demasiada gasolina ultimamente,Sensor de oxigeno defectuoso o bujias en mal estado
hola maestro el carro esta consumiendo demasiada gasolina ultimamente en la pista,Sensor de oxigeno defectuoso o bujias en mal estado
buenas tardes maestro el carro esta consumiendo demasiada gasolina ultimamente desde ayer,Sensor de oxigeno defectuoso o bujias en mal estado
sabes que el carro esta consumiendo demasiada gasolina ultimamente cuando salgo a trabajar,Sensor de oxigeno defectuoso o bujias en mal estado
esta tragando combustible como loco y huele raro,Sensor de oxigeno defectuoso o bujias en mal estado
buenas tardes maestro esta tragando combustible como loco y huele raro en la pista,Sensor de oxigeno defectuoso o bujias en mal estado
buenas tardes maestro esta tragando combustible como loco y huele raro al andar,Sensor de oxigeno defectuoso o bujias en mal estado
mi carro presenta esta tragando combustible como loco y huele raro en la pista,Sensor de oxigeno defectuoso o bujias en mal estado
el consumo de gasolina se disparo al doble este mes,Sensor de oxigeno defectuoso o bujias en mal estado
amigo una consulta el consumo de gasolina se disparo al doble este mes ultimamente,Sensor de oxigeno defectuoso o bujias en mal estado
resulta que el consumo de gasolina se disparo al doble este mes cuando salgo a trabajar,Sensor de oxigeno defectuoso o bujias en mal estado
huele mal el escape y consume mucha gasolina,Sensor de oxigeno defectuoso o bujias en mal estado
buenas tardes maestro huele mal el escape y consume mucha gasolina en carabayllo,Sensor de oxigeno defectuoso o bujias en mal estado
hola maestro huele mal el escape y consume mucha gasolina al andar,Sensor de oxigeno defectuoso o bujias en mal estado
amigo una consulta huele mal el escape y consume mucha gasolina desde ayer,Sensor de oxigeno defectuoso o bujias en mal estado
el tanque de gasolina se rinde muy rapido,Sensor de oxigeno defectuoso o bujias en mal estado
amigo una consulta el tanque de gasolina se rinde muy rapido cuando salgo a trabajar,Sensor de oxigeno defectuoso o bujias en mal estado
amigo una consulta el tanque de gasolina se rinde muy rapido al andar,Sensor de oxigeno defectuoso o bujias en mal estado
hola maestro el tanque de gasolina se rinde muy rapido al andar,Sensor de oxigeno defectuoso o bujias en mal estado
esta botando humo negro espeso por el tubo de escape,Mezcla rica (demasiado combustible / falla de sensor de oxigeno)
sabes que esta botando humo negro espeso por el tubo de escape al andar,Mezcla rica (demasiado combustible / falla de sensor de oxigeno)
hola maestro esta botando humo negro espeso por el tubo de escape en carabayllo,Mezcla rica (demasiado combustible / falla de sensor de oxigeno)
amigo una consulta esta botando humo negro espeso por el tubo de escape al andar,Mezcla rica (demasiado combustible / falla de sensor de oxigeno)
sale humo negro y mancha de hollin el suelo al acelerar,Mezcla rica (demasiado combustible / falla de sensor de oxigeno)
tengo un problema sale humo negro y mancha de hollin el suelo al acelerar en carabayllo,Mezcla rica (demasiado combustible / falla de sensor de oxigeno)
buenas tardes maestro sale humo negro y mancha de hollin el suelo al acelerar ultimamente,Mezcla rica (demasiado combustible / falla de sensor de oxigeno)
buenas tardes maestro sale humo negro y mancha de hollin el suelo al acelerar en la pista,Mezcla rica (demasiado combustible / falla de sensor de oxigeno)
bota humo oscuro y carbon por el escape,Mezcla rica (demasiado combustible / falla de sensor de oxigeno)
amigo una consulta bota humo oscuro y carbon por el escape ultimamente,Mezcla rica (demasiado combustible / falla de sensor de oxigeno)
tengo un problema bota humo oscuro y carbon por el escape cuando salgo a trabajar,Mezcla rica (demasiado combustible / falla de sensor de oxigeno)
sale humo negro con olor a gasolina mal quemada,Mezcla rica (demasiado combustible / falla de sensor de oxigeno)
buenas tardes maestro sale humo negro con olor a gasolina mal quemada en carabayllo,Mezcla rica (demasiado combustible / falla de sensor de oxigeno)
amigo una consulta sale humo negro con olor a gasolina mal quemada en la pista,Mezcla rica (demasiado combustible / falla de sensor de oxigeno)
hola maestro sale humo negro con olor a gasolina mal quemada en carabayllo,Mezcla rica (demasiado combustible / falla de sensor de oxigeno)
al acelerar a fondo bota una nube de humo negro,Mezcla rica (demasiado combustible / falla de sensor de oxigeno)
sabes que al acelerar a fondo bota una nube de humo negro en la pista,Mezcla rica (demasiado combustible / falla de sensor de oxigeno)
resulta que al acelerar a fondo bota una nube de humo negro en carabayllo,Mezcla rica (demasiado combustible / falla de sensor de oxigeno)
hola maestro al acelerar a fondo bota una nube de humo negro ultimamente,Mezcla rica (demasiado combustible / falla de sensor de oxigeno)
sale humo azul con olor a aceite quemado por el escape,El motor esta consumiendo aceite (anillos de piston gastados)
buenas tardes maestro sale humo azul con olor a aceite quemado por el escape cuando salgo a trabajar,El motor esta consumiendo aceite (anillos de piston gastados)
amigo una consulta sale humo azul con olor a aceite quemado por el escape cuando salgo a trabajar,El motor esta consumiendo aceite (anillos de piston gastados)
bota humo azuloso continuo cuando acelero,El motor esta consumiendo aceite (anillos de piston gastados)
hola maestro bota humo azuloso continuo cuando acelero ultimamente,El motor esta consumiendo aceite (anillos de piston gastados)
amigo una consulta bota humo azuloso continuo cuando acelero en carabayllo,El motor esta consumiendo aceite (anillos de piston gastados)
amigo una consulta bota humo azuloso continuo cuando acelero desde ayer,El motor esta consumiendo aceite (anillos de piston gastados)
el motor consume aceite y bota humo azul por el tubo,El motor esta consumiendo aceite (anillos de piston gastados)
resulta que el motor consume aceite y bota humo azul por el tubo cuando salgo a trabajar,El motor esta consumiendo aceite (anillos de piston gastados)
tengo un problema el motor consume aceite y bota humo azul por el tubo cuando salgo a trabajar,El motor esta consumiendo aceite (anillos de piston gastados)
sabes que el motor consume aceite y bota humo azul por el tubo al andar,El motor esta consumiendo aceite (anillos de piston gastados)
bota humo garzo azulado al salir en primera,El motor esta consumiendo aceite (anillos de piston gastados)
resulta que bota humo garzo azulado al salir en primera en la pista,El motor esta consumiendo aceite (anillos de piston gastados)
sabes que bota humo garzo azulado al salir en primera al andar,El motor esta consumiendo aceite (anillos de piston gastados)
amigo una consulta bota humo garzo azulado al salir en primera ultimamente,El motor esta consumiendo aceite (anillos de piston gastados)
tengo que rellenar aceite cada semana y bota humo azul,El motor esta consumiendo aceite (anillos de piston gastados)
buenas tardes maestro tengo que rellenar aceite cada semana y bota humo azul desde ayer,El motor esta consumiendo aceite (anillos de piston gastados)
buenas tardes maestro tengo que rellenar aceite cada semana y bota humo azul en carabayllo,El motor esta consumiendo aceite (anillos de piston gastados)
mi carro presenta tengo que rellenar aceite cada semana y bota humo azul al andar,El motor esta consumiendo aceite (anillos de piston gastados)
sale bastante humo blanco espeso por el tubo de escape,Soplo de empaque de culata (ingreso de refrigerante al motor)
mi carro presenta sale bastante humo blanco espeso por el tubo de escape en carabayllo,Soplo de empaque de culata (ingreso de refrigerante al motor)
sabes que sale bastante humo blanco espeso por el tubo de escape desde ayer,Soplo de empaque de culata (ingreso de refrigerante al motor)
hola maestro sale bastante humo blanco espeso por el tubo de escape en carabayllo,Soplo de empaque de culata (ingreso de refrigerante al motor)
bota humo blanco como vapor y se consume el agua del radiador,Soplo de empaque de culata (ingreso de refrigerante al motor)
mi carro presenta bota humo blanco como vapor y se consume el agua del radiador cuando salgo a trabajar,Soplo de empaque de culata (ingreso de refrigerante al motor)
mi carro presenta bota humo blanco como vapor y se consume el agua del radiador en la pista,Soplo de empaque de culata (ingreso de refrigerante al motor)
buenas tardes maestro bota humo blanco como vapor y se consume el agua del radiador en carabayllo,Soplo de empaque de culata (ingreso de refrigerante al motor)
el motor calienta y bota humo blanco espeso constante,Soplo de empaque de culata (ingreso de refrigerante al motor)
mi carro presenta el motor calienta y bota humo blanco espeso constante en carabayllo,Soplo de empaque de culata (ingreso de refrigerante al motor)
resulta que el motor calienta y bota humo blanco espeso constante ultimamente,Soplo de empaque de culata (ingreso de refrigerante al motor)
hola maestro el motor calienta y bota humo blanco espeso constante en la pista,Soplo de empaque de culata (ingreso de refrigerante al motor)
se mezcla el agua con el aceite y bota humo blanco,Soplo de empaque de culata (ingreso de refrigerante al motor)
hola maestro se mezcla el agua con el aceite y bota humo blanco al andar,Soplo de empaque de culata (ingreso de refrigerante al motor)
resulta que se mezcla el agua con el aceite y bota humo blanco ultimamente,Soplo de empaque de culata (ingreso de refrigerante al motor)
amigo una consulta se mezcla el agua con el aceite y bota humo blanco en carabayllo,Soplo de empaque de culata (ingreso de refrigerante al motor)
bota bastante vapor y agua por el tubo de escape,Soplo de empaque de culata (ingreso de refrigerante al motor)
mi carro presenta bota bastante vapor y agua por el tubo de escape ultimamente,Soplo de empaque de culata (ingreso de refrigerante al motor)
mi carro presenta bota bastante vapor y agua por el tubo de escape en la pista,Soplo de empaque de culata (ingreso de refrigerante al motor)
hola maestro bota bastante vapor y agua por el tubo de escape en la pista,Soplo de empaque de culata (ingreso de refrigerante al motor)
suena un chillido agudo de faja debajo del capo,Alternador defectuoso o faja suelta
hola maestro suena un chillido agudo de faja debajo del capo cuando salgo a trabajar,Alternador defectuoso o faja suelta
sabes que suena un chillido agudo de faja debajo del capo en la pista,Alternador defectuoso o faja suelta
mi carro presenta suena un chillido agudo de faja debajo del capo en la pista,Alternador defectuoso o faja suelta
el motor chilla feo al encenderlo en las mañanas,Alternador defectuoso o faja suelta
tengo un problema el motor chilla feo al encenderlo en las mañanas desde ayer,Alternador defectuoso o faja suelta
buenas tardes maestro el motor chilla feo al encenderlo en las mañanas al andar,Alternador defectuoso o faja suelta
sabes que el motor chilla feo al encenderlo en las mañanas desde ayer,Alternador defectuoso o faja suelta
suena un silbido agudo continuo en la faja del alternador,Alternador defectuoso o faja suelta
buenas tardes maestro suena un silbido agudo continuo en la faja del alternador desde ayer,Alternador defectuoso o faja suelta
amigo una consulta suena un silbido agudo continuo en la faja del alternador ultimamente,Alternador defectuoso o faja suelta
sabes que suena un silbido agudo continuo en la faja del alternador al andar,Alternador defectuoso o faja suelta
prende la luz de la bateria en el tablero y chilla la faja,Alternador defectuoso o faja suelta
tengo un problema prende la luz de la bateria en el tablero y chilla la faja cuando salgo a trabajar,Alternador defectuoso o faja suelta
